InvoiceNo,invoice_first_date,customer_id,country,invoice_revenue,n_lines
536365,2010-12-01 08:26:00,17850.0,United Kingdom,139.12,7
536366,2010-12-01 08:28:00,17850.0,United Kingdom,22.200000000000003,2
536367,2010-12-01 08:34:00,13047.0,United Kingdom,278.73,12
536368,2010-12-01 08:34:00,13047.0,United Kingdom,70.05000000000001,4
536369,2010-12-01 08:35:00,13047.0,United Kingdom,17.85,1
536370,2010-12-01 08:45:00,12583.0,France,855.86,20
536371,2010-12-01 09:00:00,13748.0,United Kingdom,204.0,1
536372,2010-12-01 09:01:00,17850.0,United Kingdom,22.200000000000003,2
536373,2010-12-01 09:02:00,17850.0,United Kingdom,259.86,16
536374,2010-12-01 09:09:00,15100.0,United Kingdom,350.4,1
536375,2010-12-01 09:32:00,17850.0,United Kingdom,259.86,16
536376,2010-12-01 09:32:00,15291.0,United Kingdom,328.8,2
536377,2010-12-01 09:34:00,17850.0,United Kingdom,22.200000000000003,2
536378,2010-12-01 09:37:00,14688.0,United Kingdom,444.98,19
536380,2010-12-01 09:41:00,17809.0,United Kingdom,34.8,1
536381,2010-12-01 09:41:00,15311.0,United Kingdom,449.98,35
536382,2010-12-01 09:45:00,16098.0,United Kingdom,430.6,12
536384,2010-12-01 09:53:00,18074.0,United Kingdom,489.6,13
536385,2010-12-01 09:56:00,17420.0,United Kingdom,130.85,7
536386,2010-12-01 09:57:00,16029.0,United Kingdom,508.20000000000005,3
536387,2010-12-01 09:58:00,16029.0,United Kingdom,3193.92,5
536388,2010-12-01 09:59:00,16250.0,United Kingdom,226.14,14
536389,2010-12-01 10:03:00,12431.0,Australia,358.25,14
536390,2010-12-01 10:19:00,17511.0,United Kingdom,1825.74,24
536392,2010-12-01 10:29:00,13705.0,United Kingdom,318.14,10
536393,2010-12-01 10:37:00,13747.0,United Kingdom,79.6,1
536394,2010-12-01 10:39:00,13408.0,United Kingdom,1024.68,11
536395,2010-12-01 10:47:00,13767.0,United Kingdom,507.88,14
536396,2010-12-01 10:51:00,17850.0,United Kingdom,376.36,18
536397,2010-12-01 10:51:00,17924.0,United Kingdom,279.0,2
536398,2010-12-01 10:52:00,13448.0,United Kingdom,426.56,17
536399,2010-12-01 10:52:00,17850.0,United Kingdom,22.200000000000003,2
536400,2010-12-01 10:53:00,13448.0,United Kingdom,17.4,1
536401,2010-12-01 11:21:00,15862.0,United Kingdom,354.23,64
536402,2010-12-01 11:22:00,15513.0,United Kingdom,357.0,3
536403,2010-12-01 11:27:00,12791.0,Netherlands,192.60000000000002,2
536404,2010-12-01 11:29:00,16218.0,United Kingdom,471.3,28
536405,2010-12-01 11:32:00,14045.0,United Kingdom,326.4,1
536406,2010-12-01 11:33:00,17850.0,United Kingdom,353.14,17
536407,2010-12-01 11:34:00,17850.0,United Kingdom,22.200000000000003,2
536408,2010-12-01 11:41:00,14307.0,United Kingdom,783.11,48
536409,2010-12-01 11:45:00,17908.0,United Kingdom,243.28,58
536412,2010-12-01 11:49:00,17920.0,United Kingdom,514.41,81
536415,2010-12-01 11:57:00,12838.0,United Kingdom,390.79,59
536416,2010-12-01 11:58:00,13255.0,United Kingdom,225.7,6
536420,2010-12-01 12:03:00,16583.0,United Kingdom,233.45,14
536423,2010-12-01 12:08:00,18085.0,United Kingdom,303.9,9
536425,2010-12-01 12:08:00,13758.0,United Kingdom,362.45,17
536437,2010-12-01 12:12:00,13694.0,United Kingdom,842.12,6
536446,2010-12-01 12:15:00,15983.0,United Kingdom,440.89,32
536460,2010-12-01 12:22:00,14849.0,United Kingdom,295.54,14
536463,2010-12-01 12:22:00,14849.0,United Kingdom,17.4,1
536464,2010-12-01 12:23:00,17968.0,United Kingdom,277.35,85
536466,2010-12-01 12:23:00,14849.0,United Kingdom,42.9,2
536477,2010-12-01 12:27:00,16210.0,United Kingdom,2474.7400000000002,14
536488,2010-12-01 12:31:00,17897.0,United Kingdom,165.89,35
536500,2010-12-01 12:35:00,17377.0,United Kingdom,223.9,15
536502,2010-12-01 12:36:00,16552.0,United Kingdom,95.29,5
536508,2010-12-01 12:38:00,17181.0,United Kingdom,155.52,2
536514,2010-12-01 12:40:00,17951.0,United Kingdom,295.5,5
